provider_name,address1,address2,city,county,state_code,zip,national_drug_code,order_label,courses_available,geocoded_address,npi,last_report_date,provider_status,provider_note
Kaiser Permanente Medical Center,2240 Mercury Way,Mercury Way Covid Clinic,Santa Rosa,Sonoma,CA,95403,,Commercial Veklury (remdesivir),,,,,,707-393-4000|https://thrive.kaiserpermanente.org/care-near-you/northern-california/santarosa/
UCHealth,Many locations,,Many Cities,Many Counties,CO,80303,,Commercial Veklury (remdesivir),,,,,,303-752-7732|https://www.uchealth.org/treatments-procedures/monoclonal-antibody-treatment/#howtoget
MedPlus Infusion Pharmacy,AT YOUR HOUSE in D.C. ($$),,YOUR CITY,YOUR COUNTY,DC,21117,,Commercial Veklury (remdesivir),,,,,,833-998-8090|https://www.medplusinfusion.net/
Clarke County Hospital,800 S Fillmore,,Osceola,Clarke,IA,50213,,Commercial Veklury (remdesivir),,,,,,641-342-2184|https://www.clarkehosp.org/infusion-services.aspx
Metro Infectious Disease Consultants,901 McClintock Dr,Suite 201,Burr Ridge,DuPage,IL,60527,,Commercial Veklury (remdesivir),,,,,,844-227-6432|https://midcusa.com/metro-infectious-disease-consultants-illinois-office-locations
Ascension Saint Joseph Elgin,77 N Airlite St,,Elgin,Kane,IL,60123,,Commercial Veklury (remdesivir),,,,,,847-931-5520|https://healthcare.ascension.org/specialty-care/covid-19
In-Home COVID-19 Treatment Program,AT YOUR HOUSE,,YOUR CITY,YOUR COUNTY,MA,02000,,Commercial Veklury (remdesivir),,,,,,617-644-7592|https://www.mass.gov/info-details/in-home-covid-19-treatment-program
Cape Cod Hospital,27 Park Street,,Hyannis,Barnstable,MA,02601,,Commercial Veklury (remdesivir),,,,,,508-534-7103|https://www.capecodhealth.org/medical-services/infectious-disease/coronavirus/monoclonal-antibody-treatment
Berkshire Health Systems,725 North St,,Pittsfield,Berkshire,MA,01201,,Commercial Veklury (remdesivir),,,,,,413-447-2000|https://www.berkshirehealthsystems.org/covid/covid-19-therapies
Southcoast Health,208 Mill Rd,,Fairhaven,Bristol,MA,02719,,Commercial Veklury (remdesivir),,,,,,508-973-2659|https://www.southcoast.org/covid-19-therapeutic-treatment/
Greater Lawrence Family Health Center,25 Marston St,Suite 101,Lawrence,Essex,MA,01841,,Commercial Veklury (remdesivir),,,,,,978-722-2870|https://glfhc.org/state-covid-form/
Baystate Noble Hospital,115 West Silver St,,Westfield,Hampden,MA,01085,,Commercial Veklury (remdesivir),,,,,,413-795-0566|https://www.baystatehealth.org/covid19/treatment
CHA Everett Hospital,103 Garland Street,,Everett,Middlesex,MA,02149,,Commercial Veklury (remdesivir),,,,,,781-338-0280|https://www.challiance.org/services-programs/covid-19-treatment-clinic
Beth Israel Deaconess Hospital-Plymouth,275 Sandwich Street,,Plymouth,Plymouth,MA,02360,,Commercial Veklury (remdesivir),,,,,,508-830-2778|https://www.bilh.org/covid-19
Massachussetts General Brigham,Transplant Center (will refer),,Boston,Suffolk,MA,02115,,Commercial Veklury (remdesivir),,,,,,|https://www.brighamandwomens.org/
UMass Memorial Health,281 Lincoln St,use the Brittan Lane entrance to access the Covid Treatment Center,Worcester,Worceser,MA,01605,,Commercial Veklury (remdesivir),,,,,,508-334-1000 (but see website)|https://www.ummhealth.org/covid-19-latest-information-and-resources/covid-treatment
BCCFH,(University of Maryland Medical System),,Baltimore,,MD,,,Commercial Veklury (remdesivir),,,,,,410-649-6122|https://www.umms.org/coronavirus/diagnosis-symptoms/bccfh/treatment
Adventist Healthcare,7600 Carroll Ave,,Takoma Park,Montgomery,MD,20912,,Commercial Veklury (remdesivir),,,,,,301-891-7600|https://www.adventisthealthcare.com/locations/profile/alternate-care-site
MedPlus Infusion Pharmacy,AT YOUR HOUSE in Maryland ($$),,YOUR CITY,YOUR COUNTY,MD,21117,,Commercial Veklury (remdesivir),,,,,,833-998-8090|https://www.medplusinfusion.net/
University of Michigan Health,Need order from UM doctor,,Ann Arbor,Washtenaw,MI,48109,,Commercial Veklury (remdesivir),,,,,,734-232-2655|https://www.uofmhealth.org/conditions-treatments/infectious-disease/covid-19-treatments
Fairview Home Infusion Suite,711 Kasota Ave (Fairview Pharmacy Services Building),,Minneapolis,Hennepin,MN,55414,,Commercial Veklury (remdesivir),,,,,,612-672-2233|https://www.fairview.org/pharmacy
Children's Hospital & Medical Center,8200 Dodge St,,Omaha,Douglas,NE,68114,,Commercial Veklury (remdesivir),,,,,,402-955-5400|https://www.childrensomaha.org/
Hackensack Medical Center,,,Hackensack,Bergen,NJ,07601,,Commercial Veklury (remdesivir),,,,,,551-996-4428|https://www.hackensackmeridianhealth.org/en/Locations/Hackensack-University-Medical-Center
Virtua Voorhees Hospital,100 Bowman Drive,,Voorhees,Camden,NJ,08043,,Commercial Veklury (remdesivir),,,,,,856-325-3150|https://www.virtua.org/locations/voorhees-hospital
HMH JFK University Medical Center,65 James Street,,Edison,Middlesex,NJ,08828,,Commercial Veklury (remdesivir),,,,,,732-744-5589|https://www.hackensackmeridianhealth.org/en/Locations/JFK-University-Medical-Center
Jersey Shore University Hospital,1945 NJ-33,,Neptune City,Monmouth,NJ,07753,,Commercial Veklury (remdesivir),,,,,,732-775-5500|https://www.hackensackmeridianhealth.org/en/Locations/jersey-shore-university-medical-center
Ocean University Medical Center,425 Jack Martin Boulevard,,Brick,Ocean,NJ,08724,,Commercial Veklury (remdesivir),,,,,,732-840-2200|
St Joseph Hospital,4295 Hempstead Turnpike,,Bethpage,Nassau,NY,11714,,Commercial Veklury (remdesivir),,,,,,516-579-6000|https://www.chsli.org/st-joseph-hospital
NewYork-Presbyterian Queens,56-45 Main Street,6 South,Queens,Flushing,NY,11355,,Commercial Veklury (remdesivir),,,,,,718-670-2289|https://www.nyp.org/queens/graduate-medical-education/infectious-diseases/outpatient-parenteral-antimicrobial-therapy-unit
North Shore University Hospital,,,Manhasset,Nassau,NY,11030,,Commercial Veklury (remdesivir),,,,,,516-562-0100|https://nsuh.northwell.edu/
Mercy Hospital,1000 N Village Avenue,,Rockville Centre,Nassau,NY,11570,,Commercial Veklury (remdesivir),,,,,,516-626-3729|https://www.chsli.org/mercy-hospital
St Francis Hospital,100 Port Washington Boulevard,,Roslyn,Nassau,NY,11576,,Commercial Veklury (remdesivir),,,,,,516-562-6000|https://www.chsli.org/st-francis-hospital
COLUMBIA UNIVERSITY HOSPITAL,630 W. 168th St.,,New York,New York,NY,10032,,Commercial Veklury (remdesivir),,,,,,|https://www.cuimc.columbia.edu/
Montefiore Hospital (Moses Campus),111 East 210th Street,,Bronx,Bronx,NY,10467,,Commercial Veklury (remdesivir),,,,,,|https://montefiore.org
University of Cincinatti Medical Center,3188 Bellevue Avenue,,Cincinatti,Hamilton,OH,45219,,Commercial Veklury (remdesivir),,,,,,513-584-1000|https://www.uchealth.com/university-of-cincinnati-medical-center/
Comance County Memorial Hospital,3401 W. Gore Blvd,,Lawton,Comanche,OK,73505,,Commercial Veklury (remdesivir),,,,,,580-355-8699 - Option 1 - Ext. 4756|https://www.ccmhhealth.com/infusion-services/
Oregon Health and Science University (OHSU),3303 S Bond Ave,,Portland,Multnomah,OR,97239,,Commercial Veklury (remdesivir),,,,,,833-647-8222|https://news.ohsu.edu/2020/04/22/ohsu-expands-covid-19-hotline-statewide
UPMC Children's Hospital of Pittsburgh,4401 Penn Ave,,Pittsburgh,Allegheny,PA,15224,,Commercial Veklury (remdesivir),,,,,,412-692-5325|https://www.chp.edu/
Milton Hersey Medical Center,500 University Drive,,Hershey,Dauphin,PA,17033,,Commercial Veklury (remdesivir),,,,,,717-531-8128|https://www.pennstatehealth.org/locations/milton-s-hershey-medical-center
Monument Health,see website/call,,Rapid City,Pennington,SD,57701,,Commercial Veklury (remdesivir),,,,,,605-755-1350|https://monument.health/covid-19-south-dakota/possible-treatment-options-for-covid-19/
Threlkeld Infectious Disease,6029 Walnut Grove, Suite C002,Memphis,,TN,38120,,Commercial Veklury (remdesivir),,,,,,901-685-3490|https://infectiondocs.com/about/
University Hospital,4502 Medical Drive,,San Antonio,Bexar,TX,78229,,Commercial Veklury (remdesivir),,,,,,210-743-0386|https://www.universityhealthsystem.com/patient-visitor-resources/hospital-at-home
Infusion Services - UT Southwestern Medical Center at RedBird,3450 W Camp Wisdom Rd,,Dallas,Dallas,TX,75237,,Commercial Veklury (remdesivir),,,,,,214-645-4673|https://utswmed.org/locations/ut-southwestern-medical-center-redbird
Carilion Clinic Infusion Center - CRMH,1906 Belleview Ave. 1 South,,Roanoke,,VA,24014,,Commercial Veklury (remdesivir),,,,,,540-981-7341|https://www.carilionclinic.org/locations/carilion-clinic-infusion-center-crmh
Kaiser Permanente - Tysons Corner Medical Center,8008 Westpark Dr,,McLean,Fairfax,VA,22102,,Commercial Veklury (remdesivir),,,,,,703-287-6400|https://healthy.kaiserpermanente.org/maryland-virginia-washington-dc/facilities/Tysons-Corner-Medical-Center-300450
MedPlus Infusion Pharmacy,AT YOUR HOUSE in northern Virginia ($$),,YOUR CITY,YOUR COUNTY,VA,21117,,Commercial Veklury (remdesivir),,,,,,833-998-8090|https://www.medplusinfusion.net/
Fred Hutch Cancer Center,1354 Aloha Street,,Seattle,King,WA,98109,,Commercial Veklury (remdesivir),,,,,,(contact your care team)|https://www.seattlecca.org/covid19
St. Mary's Outpatient Infusion Center,401 W Poplar St,,Walla Walla,Walla Walla,WA,99362,,Commercial Veklury (remdesivir),,,,,,509-897-3320 (your doctor will need to call prescription into the Emergency Department)|https://www.providence.org/locations/wa/st-mary-medical-center
University of Wisconsin-Madison Hospital,600 Highland Ave,,Madison,Dane,WI,53792,,Commercial Veklury (remdesivir),,,,,,608-236-6400|https://coronavirus.uwhealth.org/symptoms-and-care/covid-therapies/
ProHealth Waukesha Memorial Hospital,725 American Ave,,Waukesha,Waukesha,WI,53188,,Commercial Veklury (remdesivir),,,,,,262-928-1000|https://www.prohealthcare.org/locations/profile/hospital-waukesha-memorial/
